,ABC,ACTE1,ACTE2,DGGRC1,DGGRC2,DGNBL1,DGNBL2,EPEN,MFOL1,MFOL2,MGL1,MGL2,MGL3,MOL1,MOL2,MOL3,OPC,PER1,PER2,PER3,TEGLU1,TEGLU10,TEGLU11,TEGLU12,TEGLU13,TEGLU14,TEGLU2,TEGLU20,TEGLU21,TEGLU23,TEGLU24,TEGLU3,TEGLU4,TEGLU6,TEGLU7,TEGLU8,TEGLU9,TEINH10,TEINH11,TEINH12,TEINH13,TEINH14,TEINH15,TEINH16,TEINH17,TEINH18,TEINH19,TEINH20,TEINH21,TEINH4,TEINH5,TEINH6,TEINH7,TEINH8,TEINH9,VECA,VECC,VECV,VLMC1,VLMC2,VSMCA
Amigo2,0.0072992700729927005,0.006388702084734364,0.025421595771457337,0.003051881993896236,0.007680945347119645,0.0,0.006228373702422145,0.014211886304909561,0.0005428881650380022,0.00041407867494824016,0.0013215859030837004,0.0,0.0,0.0011474469305794606,0.0008990110878034162,0.001081665765278529,0.0024390243902439024,0.0065608465608465606,0.014344262295081968,0.013422818791946308,0.18407960199004975,0.020785219399538105,0.011612021857923498,0.007772020725388601,0.03937007874015748,0.02857142857142857,0.032846715328467155,0.0,0.0,0.16115702479338842,0.0039273441335297005,0.012801755669348939,0.009036144578313253,0.0033444816053511705,0.01190965092402464,0.011722565939433409,0.019801980198019802,0.0,0.0030303030303030303,0.007142857142857143,0.0,0.002369668246445498,0.0009354536950420954,0.0,0.013333333333333334,0.0018281535648994515,0.0028846153846153848,0.0,0.005194805194805195,0.0015503875968992248,0.0022271714922048997,0.0,0.0,0.017543859649122806,0.006172839506172839,0.03669724770642202,0.014634146341463415,0.007194244604316547,0.005698005698005698,0.01812688821752266,0.16052416052416052
Apod,5.642335766423358,0.010087424344317418,0.009061162849232317,0.0,0.0011816838995568684,0.012578616352201259,0.0020761245674740486,0.05813953488372093,1.0836047774158524,0.5482401656314699,0.00881057268722467,0.01098901098901099,0.05093632958801498,2.821342512908778,4.019178903206473,16.252568956192537,0.025609756097560974,0.19068783068783068,1.1577868852459017,0.03691275167785235,0.012437810945273632,0.010392609699769052,0.006830601092896175,0.0025906735751295338,0.0,0.0,0.0036496350364963502,0.0,0.019230769230769232,0.006198347107438017,0.008836524300441826,0.02121433796634967,0.018072289156626505,0.0016722408026755853,0.019301848049281315,0.010094431781178768,0.0049504950495049506,0.03614457831325301,0.016666666666666666,0.017857142857142856,0.09815950920245399,0.014218009478672985,0.025257249766136577,0.027950310559006212,0.013333333333333334,0.0712979890310786,0.0125,0.0,0.005194805194805195,0.004651162790697674,0.008908685968819599,0.013793103448275862,0.0,0.0,0.024691358024691357,3.128440366972477,1.3073170731707318,0.1723021582733813,14.937321937321938,15.941087613293051,0.015561015561015561
Apoe,16.722627737226276,33.25319435104237,19.147998993204126,0.13326551373346898,0.12673559822747416,0.12578616352201258,0.09204152249134948,10.373385012919897,0.1563517915309446,0.18467908902691513,6.0198237885462555,6.002197802197802,13.67940074906367,0.5153184165232358,0.23364299270802116,0.196322336398053,5.728048780487805,1.6634920634920636,0.8872950819672131,0.5738255033557047,0.2736318407960199,0.3394919168591224,0.29849726775956287,0.15284974093264247,0.13385826771653545,0.22857142857142856,0.23357664233576642,0.12727272727272726,0.27884615384615385,0.1859504132231405,0.3073146784486991,0.2556693489392831,0.38403614457831325,0.13210702341137123,0.5154004106776181,0.3760989905568219,0.17326732673267325,0.06712564543889846,0.1606060606060606,0.05714285714285714,0.08588957055214724,0.2559241706161137,0.19363891487371376,0.12111801242236025,0.22074074074074074,0.14076782449725778,0.16634615384615384,0.09352517985611511,0.22337662337662337,0.1875968992248062,0.07126948775055679,0.14482758620689656,0.08823529411764706,0.10526315789473684,0.08024691358024691,3.3211009174311927,0.4751219512195122,2.4762589928057555,5.170940170940171,33.570996978851966,0.32104832104832104
Aqp4,0.051094890510948905,2.9361129791526563,1.0888497357160836,0.004069175991861648,0.00827178729689808,0.0,0.004152249134948097,3.6098191214470283,0.0,0.0,0.0026431718061674008,0.008791208791208791,0.017977528089887642,0.0,0.0,0.0,0.0,0.013333333333333334,0.018442622950819672,0.016778523489932886,0.012437810945273632,0.016166281755196306,0.010245901639344262,0.007772020725388601,0.015748031496062992,0.0,0.010948905109489052,0.05454545454545454,0.019230769230769232,0.010330578512396695,0.01718213058419244,0.008412582297000731,0.01355421686746988,0.0033444816053511705,0.014373716632443531,0.013025073266037121,0.009900990099009901,0.0,0.03636363636363636,0.0,0.018404907975460124,0.002369668246445498,0.011225444340505144,0.003105590062111801,0.013333333333333334,0.014625228519195612,0.0057692307692307696,0.0,0.007792207792207792,0.0,0.004454342984409799,0.0,0.0,0.0,0.0,0.01834862385321101,0.004878048780487805,0.014388489208633094,0.021367521367521368,0.027190332326283987,0.015561015561015561
Arc,0.014598540145985401,0.004034969737726967,0.003020387616410773,0.03153611393692777,0.01654357459379616,0.0,0.01314878892733564,0.06459948320413436,0.19516829533116178,0.15486542443064183,0.0022026431718061676,0.007142857142857143,0.015730337078651686,0.11267928858290303,0.1369493557087204,0.12547322877230935,0.0,0.002962962962962963,0.0,0.010067114093959731,0.06218905472636816,0.3579676674364896,0.3592896174863388,0.2616580310880829,0.2047244094488189,0.2571428571428571,0.1678832116788321,0.10909090909090909,0.11538461538461539,0.09504132231404959,0.21158566519391261,0.4637893196781273,0.2183734939759036,0.08528428093645485,0.2862422997946612,0.35395636600455876,0.15841584158415842,0.0051635111876075735,0.01818181818181818,0.0035714285714285713,0.006134969325153374,0.054502369668246446,0.01216089803554724,0.003105590062111801,0.013333333333333334,0.007312614259597806,0.0057692307692307696,0.02877697841726619,0.02857142857142857,0.012403100775193798,0.004454342984409799,0.0,0.0,0.0,0.0,0.01834862385321101,0.005853658536585366,0.0057553956834532375,0.002849002849002849,0.04229607250755287,0.011466011466011465
Avp,0.0,0.0003362474781439139,0.0005033979360684622,0.012207527975584944,0.02156573116691285,0.0,0.001384083044982699,0.002583979328165375,0.0002714440825190011,0.014078674948240166,0.0,0.004395604395604396,0.000749063670411985,0.00263912794033276,0.00079912096693637,0.0005408328826392645,0.0012195121951219512,0.0006349206349206349,0.0020491803278688526,0.003355704697986577,0.0024875621890547263,0.0,0.006830601092896175,0.0025906735751295338,0.007874015748031496,0.0,0.0,0.0,0.0,0.004132231404958678,0.0004909180166912126,0.000365764447695684,0.0,0.006688963210702341,0.037782340862423,0.006186909801367633,0.0,0.0,0.0,0.0035714285714285713,0.0,0.0,0.0,0.0015527950310559005,0.002962962962962963,0.0,0.0,0.0,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00975609756097561,0.001079136690647482,0.0014245014245014246,0.0,0.000819000819000819
B2m,1.7591240875912408,0.2168796234028245,0.10168638308582935,0.030518819938962362,0.03367799113737075,0.018867924528301886,0.01522491349480969,0.17829457364341086,0.05781758957654723,0.08612836438923395,3.7105726872246696,2.9335164835164833,3.6374531835205994,0.0919104991394148,0.09529517530716212,0.3964305029745809,0.3073170731707317,2.006984126984127,3.8504098360655736,0.5033557046979866,0.08208955223880597,0.1351039260969977,0.3135245901639344,0.41450777202072536,0.2204724409448819,0.05714285714285714,0.040145985401459854,0.21818181818181817,0.15384615384615385,0.2190082644628099,0.11782032400589101,0.0548646671543526,0.1716867469879518,0.10535117056856187,0.42176591375770023,0.2696190166069684,0.10396039603960396,0.03442340791738382,0.06363636363636363,0.20357142857142857,0.018404907975460124,0.07345971563981042,0.08419083255378859,0.09006211180124224,0.04888888888888889,0.08775137111517367,0.10096153846153846,0.03597122302158273,0.38701298701298703,0.06356589147286822,0.0200445434298441,0.020689655172413793,0.014705882352941176,0.03508771929824561,0.06790123456790123,1.238532110091743,3.2282926829268295,2.5424460431654676,0.40028490028490027,1.3836858006042296,0.23095823095823095
Bcl11b,0.0,0.019166106254203095,0.01610873395419079,1.091556459816887,0.8555391432791728,0.03773584905660377,0.558477508650519,0.01937984496124031,0.0013572204125950054,0.004968944099378882,0.011894273127753305,0.010439560439560439,0.0044943820224719105,0.004016064257028112,0.0066926380980920986,0.008653326122228232,0.042682926829268296,0.006349206349206349,0.006147540983606557,0.006711409395973154,1.1616915422885572,0.08660508083140878,0.4774590163934426,0.19430051813471502,0.09448818897637795,0.7714285714285715,1.4525547445255473,1.9090909090909092,0.5288461538461539,0.41115702479338845,1.8826705940108002,0.9411119239209949,2.3659638554216866,0.011705685618729096,0.07638603696098563,0.019211983067404754,0.04455445544554455,0.10671256454388985,0.04393939393939394,0.06428571428571428,1.8773006134969326,0.8791469194312796,1.1627689429373247,1.5046583850931676,0.3718518518518519,0.25045703839122485,0.2048076923076923,1.5971223021582734,0.825974025974026,0.02635658914728682,0.0400890868596882,0.09655172413793103,0.07352941176470588,0.017543859649122806,0.037037037037037035,0.0,0.004878048780487805,0.0035971223021582736,0.004273504273504274,0.022658610271903322,0.003276003276003276
Bdnf,0.0072992700729927005,0.01613987895090787,0.027435187515731187,0.5798575788402849,0.4753323485967504,0.006289308176100629,0.16055363321799307,0.00516795865633075,0.002985884907709012,0.0033126293995859213,0.0013215859030837004,0.005494505494505495,0.000749063670411985,0.0050487664945496275,0.0025971431425432026,0.002163331530557058,0.00975609756097561,0.002328042328042328,0.0,0.0,0.03233830845771144,0.6778290993071594,1.0525956284153006,1.4300518134715026,1.2992125984251968,1.9428571428571428,0.10948905109489052,0.6909090909090909,0.41346153846153844,0.993801652892562,0.5247913598429063,0.07900512070226774,0.4864457831325301,0.3779264214046823,0.7856262833675565,0.4610875936177141,0.17326732673267325,0.0017211703958691911,0.0,0.0,0.0,0.009478672985781991,0.02245088868101029,0.006211180124223602,0.007407407407407408,0.003656307129798903,0.0019230769230769232,0.0,0.005194805194805195,0.012403100775193798,0.004454342984409799,0.006896551724137931,0.0,0.0,0.006172839506172839,0.0,0.000975609756097561,0.003237410071942446,0.0014245014245014246,0.0015105740181268882,0.004914004914004914
Bsg,7.591240875912408,1.0134498991257566,0.9781021897810219,1.4923702950152593,1.1642540620384048,0.9874213836477987,1.142560553633218,1.3087855297157622,0.40526601520086863,0.6455486542443064,1.3215859030837005,1.1071428571428572,1.0958801498127342,0.8289156626506025,0.693337328938168,1.687398593834505,1.7146341463414634,67.3621164021164,56.01844262295082,5.315436241610739,2.601990049751244,3.7678983833718247,3.828551912568306,3.3341968911917097,2.4803149606299213,3.5142857142857142,3.2627737226277373,3.090909090909091,2.8365384615384617,3.34297520661157,2.1138929798723614,2.669348939283102,3.5647590361445785,1.4247491638795986,4.241478439425052,3.063822859003582,2.5445544554455446,8.901893287435456,3.889393939393939,3.914285714285714,4.337423312883436,3.0402843601895735,3.4780168381665106,3.8447204968944098,4.253333333333333,3.6508226691042047,4.780769230769231,5.64748201438849,5.441558441558442,2.3503875968992247,1.8173719376391981,2.2551724137931033,7.0588235294117645,3.8947368421052633,7.438271604938271,19.339449541284402,34.77951219512195,87.43776978417266,1.6894586894586894,3.583081570996979,1.095004095004095
